ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,鲜重(g),干重(g),株高(cm),分蘖数,绿叶面积(mm2),叶片数,SandBox,D1,D2,RFD,stage,frac,frac_stage,frac_SFD,frac_SandBox,frac_D1,frac_D2,frac_RFD
4,970,912,0.940206186,1005.958,1.037070103,115775.167,13.09%,1.725,1.415,14.56412962,0.375,0.163,0.1,0.076,0.06,0.052,0.047,0.04,0.03,0.021,0.017,0.019,0.094,0.379,0.224,0.138,0.097,0.069,48.83,8.219999999,75.1,19,92047.7433,60,1.543822216,2.124223362,1.501256635,2.318354401,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
5,652,1002,1.536809816,1049.554,1.609745399,80566.833,12.33%,1.712,1.366,14.09365605,0.334,0.167,0.112,0.083,0.064,0.056,0.051,0.045,0.031,0.02,0.013,0.024,0.089,0.362,0.228,0.157,0.094,0.07,43.07,6.62,74.3,13,74653.9,40,1.514635932,2.082880528,1.454708122,2.304644169,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
6,735,813,1.106122449,852.28,1.159564626,118693.333,19.86%,1.786,1.416,14.27566001,0.312,0.157,0.103,0.076,0.059,0.047,0.037,0.031,0.027,0.035,0.057,0.06,0.072,0.33,0.208,0.141,0.085,0.164,46.57,9.520000002,60.1,27,128588.0285,80,1.606963864,2.107201361,1.504460799,2.29612409,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
7,705,751,1.065248227,820.089,1.163246809,128430.583,24.26%,1.813,1.426,14.40502753,0.269,0.147,0.104,0.076,0.057,0.049,0.041,0.035,0.037,0.043,0.049,0.093,0.07,0.289,0.195,0.132,0.093,0.221,52.42000001,12.23,54.9,31,163283.2788,96,1.629024598,2.113114785,1.514071029,2.30367692,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
8,594,549,0.924242424,602.252,1.013892256,83276.417,25.54%,1.813,1.374,13.88772982,0.276,0.153,0.098,0.067,0.056,0.043,0.034,0.031,0.035,0.041,0.066,0.101,0.082,0.292,0.185,0.113,0.083,0.246,49.8,7.979999996,43,48,110944,94,1.638213113,2.073086425,1.466452217,2.318948635,stage 1,f2,12,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
9,657,729,1.109589041,775.25,1.179984779,102593.417,21.42%,1.768,1.396,14.04084205,0.301,0.148,0.096,0.073,0.06,0.05,0.049,0.047,0.056,0.052,0.038,0.031,0.07,0.309,0.219,0.152,0.114,0.136,48.86999999,9.58,54.5,23,103543.9717,52,1.567413143,2.094463397,1.481363108,2.296822196,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_0
10,582,893,1.534364261,963.387,1.655304124,75747.917,14.57%,1.707,1.355,14.03615232,0.339,0.149,0.099,0.084,0.069,0.065,0.056,0.045,0.034,0.025,0.014,0.02,0.099,0.335,0.216,0.175,0.103,0.074,34.51,5.909999998,69.3,12,67797.62762,34,1.51423878,2.076644517,1.43035473,2.315626528,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
11,579,669,1.155440415,727.802,1.256998273,73849.917,19.07%,1.767,1.353,13.78035391,0.289,0.13,0.094,0.082,0.067,0.054,0.052,0.047,0.047,0.053,0.047,0.038,0.074,0.304,0.201,0.165,0.13,0.127,34.91,5.640000003,50.8,17,71190.7,46,1.569681737,2.06690875,1.439155745,2.31402804,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
12,563,728,1.293072824,769.281,1.366396092,66055.333,16.12%,1.756,1.337,13.83471955,0.259,0.142,0.097,0.087,0.082,0.07,0.064,0.05,0.039,0.032,0.036,0.042,0.086,0.272,0.216,0.186,0.128,0.112,23.14000001,5.090000002,54.1,21,52402.3901,39,1.548195549,2.056286442,1.411925178,2.345469339,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1
13,717,802,1.118549512,837.982,1.168733612,100545.75,17.49%,1.763,1.39,14.34390254,0.338,0.15,0.092,0.069,0.059,0.057,0.058,0.053,0.043,0.034,0.024,0.023,0.073,0.312,0.209,0.168,0.128,0.111,38.18999999,8.799999996,57.5,14,83083.40448,42,1.556591632,2.089607162,1.458976106,2.289343449,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_0
15,886,940,1.060948081,978.112,1.103963883,115136,13.82%,1.673,1.413,14.37976765,0.423,0.176,0.088,0.067,0.062,0.051,0.045,0.039,0.026,0.013,0.005,0.005,0.081,0.422,0.238,0.147,0.082,0.03,48.94,9.719999995,72.8,17,96761.23861,51,1.514167861,2.110629408,1.492380913,2.289906926,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
21,778,745,0.957583548,803.1555556,1.032333619,140924.75,24.31%,1.819,1.443,14.29565695,0.276,0.138,0.088,0.067,0.059,0.051,0.043,0.036,0.036,0.046,0.067,0.094,0.068,0.28,0.189,0.125,0.104,0.233,74.37999996,13.80999999,57.8,43,179533.899,114,1.622630189,2.12410125,1.531315511,2.307757549,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
22,914,839,0.917943107,908.3407407,0.99380825,167350.333,21.82%,1.804,1.466,14.53251297,0.289,0.151,0.106,0.079,0.058,0.042,0.035,0.037,0.037,0.041,0.053,0.071,0.069,0.298,0.21,0.122,0.087,0.214,90.07999996,16.11,64,37,227351.976,117,1.630201049,2.141115755,1.561810909,2.28003183,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
24,703,698,0.992887624,736.4888889,1.047637111,108665.583,22.15%,1.804,1.405,14.06789849,0.241,0.148,0.101,0.078,0.066,0.057,0.049,0.045,0.044,0.043,0.053,0.076,0.069,0.295,0.201,0.148,0.11,0.176,65.21999998,12.01,52.8,30,160060.803,101,1.624710866,2.099675941,1.492118974,2.311193,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
25,677,630,0.930576071,727.722,1.074921713,82673.25,19.38%,1.792,1.375,13.90542218,0.28,0.149,0.1,0.072,0.061,0.056,0.045,0.035,0.037,0.05,0.057,0.058,0.084,0.291,0.201,0.135,0.112,0.177,36.50000002,6.970000002,48.2,22,94253.7221,65,1.596975743,2.080151134,1.471183403,2.332356913,stage 1,f2,12,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1
27,922,816,0.885032538,966.021,1.047745119,129427.5,17.20%,1.746,1.433,14.41771788,0.33,0.168,0.108,0.075,0.057,0.047,0.043,0.046,0.045,0.034,0.027,0.019,0.08,0.35,0.218,0.148,0.105,0.099,56.26,10.21,65.9,23,130993.2073,73,1.565535372,2.131995573,1.526929029,2.285996909,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
28,475,687,1.446315789,730.562963,1.53802729,66143.833,20.27%,1.752,1.338,13.90268577,0.252,0.149,0.104,0.084,0.071,0.066,0.063,0.059,0.053,0.047,0.026,0.026,0.072,0.282,0.235,0.169,0.129,0.114,20.62000001,4.71,50,13,55916.179,38,1.568179,2.052068263,1.404512653,2.327331427,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
30,947,887,0.936642027,904.974,0.955621964,155983.833,18.57%,1.79,1.452,14.4154234,0.309,0.162,0.089,0.068,0.054,0.049,0.049,0.044,0.042,0.046,0.048,0.04,0.067,0.332,0.193,0.137,0.116,0.155,55.72,12.50999999,66,29,188842.2223,78,1.610326164,2.125208827,1.543249027,2.275339521,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
31,602,843,1.400332226,876.383,1.455785714,95466.333,18.81%,1.746,1.385,14.24522411,0.318,0.168,0.112,0.08,0.066,0.066,0.057,0.046,0.033,0.022,0.017,0.015,0.061,0.335,0.222,0.194,0.114,0.074,28.28999999,6.04,61.2,14,74955.98666,39,1.55778765,2.080625455,1.465072725,2.300939505,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
33,776,826,1.06443299,889.0814815,1.145723559,141434.75,22.07%,1.811,1.441,14.4253322,0.289,0.129,0.081,0.062,0.052,0.052,0.051,0.052,0.05,0.056,0.06,0.067,0.067,0.274,0.176,0.148,0.125,0.211,68.23999999,11.68999999,63,32,141486.991,86,1.614083142,2.132157696,1.525563856,2.307841199,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
35,721,1000,1.386962552,1102.414815,1.529008065,111899.75,15.52%,1.761,1.41,14.35148947,0.352,0.139,0.09,0.072,0.062,0.058,0.05,0.044,0.041,0.037,0.03,0.025,0.084,0.35,0.197,0.153,0.097,0.119,46.30999998,9.280000002,78,23,114228.427,60,1.561289088,2.106545846,1.491411656,2.308397056,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
36,891,816,0.915824916,936.308,1.05085073,147422.417,20.28%,1.791,1.446,14.64354084,0.319,0.135,0.085,0.071,0.062,0.053,0.049,0.046,0.046,0.049,0.044,0.041,0.066,0.314,0.193,0.15,0.124,0.153,53.73000001,12.89,66.9,22,141924.4461,76,1.603719457,2.136129864,1.525138774,2.286383841,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
37,998,889,0.890781563,969.805,0.971748497,122500.083,13.81%,1.752,1.419,14.56055557,0.35,0.139,0.081,0.067,0.063,0.07,0.067,0.054,0.042,0.03,0.021,0.017,0.075,0.318,0.214,0.176,0.129,0.088,47.91000001,11.51,65.6,17,108852.4504,43,1.577413341,2.110897915,1.492845482,2.289543337,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
38,899,851,0.946607341,903.244,1.004720801,137537,17.98%,1.775,1.434,14.40917004,0.317,0.19,0.113,0.065,0.045,0.033,0.026,0.03,0.035,0.039,0.049,0.059,0.074,0.369,0.194,0.102,0.089,0.171,54.56999999,10.84,65.1,23,148196.8958,70,1.609941352,2.12201717,1.5200845,2.280895584,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
39,878,840,0.956719818,906.798,1.032799544,167513.667,22.71%,1.782,1.466,14.67065459,0.299,0.154,0.102,0.079,0.063,0.056,0.047,0.041,0.038,0.036,0.043,0.043,0.068,0.33,0.204,0.138,0.118,0.142,71.64999998,15.18,63.5,29,165522.6918,76,1.602681252,2.148626312,1.553704555,2.278420475,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
42,864,786,0.909722222,871.03,1.008136574,113499.75,16.71%,1.751,1.408,14.22247343,0.349,0.169,0.112,0.074,0.054,0.046,0.036,0.033,0.028,0.028,0.034,0.037,0.07,0.37,0.219,0.151,0.08,0.11,43.47,8.88,60.8,27,104173.4068,63,1.549148725,2.104883894,1.495537078,2.286075997,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
